Algorithm,Run,HV,IGD,Spacing,Spread,BestScalar,Runtime_s
MOGWO,5,74264.95619738536,5.654712026048027,6.825423935631094,33.64291565012581,1093.2143532414932,1.6091947555541992
MOGWO,6,66837.07657865596,5.669275537357799,6.247138867784629,38.35423009207681,1094.2084030521946,2.027804374694824
MOGWO,7,73768.11082326711,9.110859256069732,0.0,91.90141039919962,1076.1682480650004,1.5759313106536865
MOGWO,8,78330.99951833274,3.4141445741471492,0.0,8.134127711492676,1089.4203589068043,1.7265443801879883
MOGWO,9,70759.7038059148,8.473244086863797,0.0,26.464431722376716,1098.7568549583777,2.1889560222625732
MOGWO,10,69035.04712125022,5.922117478458561,2.51544927397109,28.803388215573186,1094.3358096514155,1.7734668254852295
MOGWO,11,86663.48679459629,3.6820288264406558,0.09143482304436583,32.11314075050509,1061.5252372532605,1.6614341735839844
MOGWO,12,68269.82318815173,3.3404190662204027,3.1960493162761408,29.68894351199524,1087.5652807059296,1.7731962203979492
MOGWO,13,71915.46540714124,3.8354093363548345,4.078207059116602,20.730868038562427,1089.9858075698858,1.6832563877105713
MOGWO,14,79618.1545694003,3.033151540628659,8.566396685010677,50.425280601529494,1084.192533185819,1.8006415367126465
MOGWO,15,69594.0880339307,7.191495260265424,0.0,0.0,1095.813427083286,1.5299854278564453
MOGWO,16,73970.13167503297,4.101934673102759,0.0,0.0,1088.2503693810766,1.5356404781341553
MOGWO,17,67685.73406479206,4.188776174417256,1.178905660446833,26.025387039310452,1091.4231268414298,1.6457622051239014
MOGWO,18,70619.12679836487,4.525477124863351,3.7151872126286913,42.3222413794832,1090.5839838057634,1.7569193840026855
MOGWO,19,80685.04896657025,2.9016442942761564,0.9008849343586024,16.273331796273837,1085.8929162146967,1.756488561630249
